entity,name,website
http://www.wikidata.org/entity/Q17022713,Surrey and Sussex Healthcare NHS Trust,https://www.surreyandsussex.nhs.uk/
http://www.wikidata.org/entity/Q17026799,Sussex Community NHS Foundation Trust,https://www.sussexcommunity.nhs.uk/
http://www.wikidata.org/entity/Q7649464,Sussex Partnership NHS Foundation Trust,http://www.sussexpartnership.nhs.uk/
http://www.wikidata.org/entity/Q7681169,Tameside and Glossop Integrated Care NHS Foundation Trust,https://www.tamesidehospital.nhs.uk/
http://www.wikidata.org/entity/Q104990060,Tavistock and Portman NHS Foundation Trust,https://tavistockandportman.nhs.uk
http://www.wikidata.org/entity/Q7694520,"Tees, Esk and Wear Valleys NHS Foundation Trust",https://www.tewv.nhs.uk/
http://www.wikidata.org/entity/Q5110676,The Christie NHS Foundation Trust,http://www.christie.nhs.uk/
http://www.wikidata.org/entity/Q14956870,The Clatterbridge Cancer Centre NHS Foundation Trust,http://www.clatterbridgecc.nhs.uk/
http://www.wikidata.org/entity/Q17060399,The Dudley Group NHS Foundation Trust,http://dudleygroup.nhs.uk/
http://www.wikidata.org/entity/Q7739691,The Hillingdon Hospitals NHS Foundation Trust,http://www.thh.nhs.uk
http://www.wikidata.org/entity/Q16998837,The Newcastle upon Tyne Hospitals NHS Foundation Trust,http://www.newcastle-hospitals.org.uk/
http://www.wikidata.org/entity/Q30265289,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,http://www.qehkl.nhs.uk/
http://www.wikidata.org/entity/Q30254135,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,http://www.rjah.nhs.uk/
http://www.wikidata.org/entity/Q17020076,The Rotherham NHS Foundation Trust,http://www.therotherhamft.nhs.uk/
http://www.wikidata.org/entity/Q17021659,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,https://www.rbch.nhs.uk
http://www.wikidata.org/entity/Q7761706,The Royal Marsden NHS Foundation Trust,https://www.royalmarsden.nhs.uk/
http://www.wikidata.org/entity/Q87766783,The Royal Orthopaedic Hospital NHS Foundation Trust,https://www.roh.nhs.uk/
http://www.wikidata.org/entity/Q18391352,The Royal Wolverhampton NHS Trust,https://www.royalwolverhampton.nhs.uk/
http://www.wikidata.org/entity/Q87766805,The Walton Centre NHS Foundation Trust,https://www.thewaltoncentre.nhs.uk/
http://www.wikidata.org/entity/Q87752875,Torbay and South Devon NHS Foundation Trust,https://www.torbayandsouthdevon.nhs.uk/
http://www.wikidata.org/entity/Q17027712,United Lincolnshire Hospitals NHS Trust,https://www.ulh.nhs.uk/
http://www.wikidata.org/entity/Q7894629,University College London Hospitals NHS Foundation Trust,https://www.uclh.nhs.uk/
http://www.wikidata.org/entity/Q20712409,University Hospital Southampton NHS Foundation Trust,https://www.uhs.nhs.uk/
http://www.wikidata.org/entity/Q7894775,University Hospitals Birmingham NHS Foundation Trust,http://www.uhb.nhs.uk/
http://www.wikidata.org/entity/Q17028004,University Hospitals Bristol and Weston NHS Foundation Trust,https://www.uhbw.nhs.uk/
http://www.wikidata.org/entity/Q21061493,University Hospitals Coventry and Warwickshire NHS Trust,https://www.uhcw.nhs.uk/
http://www.wikidata.org/entity/Q99964922,University Hospitals Dorset NHS Foundation Trust,https://www.uhd.nhs.uk/
http://www.wikidata.org/entity/Q18389069,University Hospitals Plymouth NHS Trust,https://www.plymouthhospitals.nhs.uk/
http://www.wikidata.org/entity/Q106311364,University Hospitals Sussex NHS Foundation Trust,https://www.uhsussex.nhs.uk/
http://www.wikidata.org/entity/Q55636718,University Hospitals of Derby and Burton NHS Foundation Trust,https://www.uhdb.nhs.uk/
http://www.wikidata.org/entity/Q7894780,University Hospitals of Leicester NHS Trust,https://www.leicestershospitals.nhs.uk/
http://www.wikidata.org/entity/Q17028013,University Hospitals of Morecambe Bay NHS Foundation Trust,http://www.uhmb.nhs.uk/
http://www.wikidata.org/entity/Q19604604,University Hospitals of North Midlands NHS Trust,http://www.uhnm.nhs.uk/Pages/Home.aspx
http://www.wikidata.org/entity/Q18358583,Velindre NHS Trust,http://www.wales.nhs.uk/sitesplus/972/home
http://www.wikidata.org/entity/Q17032964,Walsall Healthcare NHS Trust,https://www.walsallhealthcare.nhs.uk/
http://www.wikidata.org/entity/Q7970713,Warrington and Halton Hospitals NHS Foundation Trust,https://www.whh.nhs.uk/
http://www.wikidata.org/entity/Q17066359,West Hertfordshire Hospitals NHS Trust,https://www.westhertshospitals.nhs.uk/
http://www.wikidata.org/entity/Q7985792,West London NHS Trust,https://www.westlondon.nhs.uk/
http://www.wikidata.org/entity/Q14956842,West Suffolk NHS Foundation Trust,https://www.wsh.nhs.uk/
http://www.wikidata.org/entity/Q16940041,Western Sussex Hospitals NHS Foundation Trust,https://www.westernsussexhospitals.nhs.uk/
http://www.wikidata.org/entity/Q80702304,Whittington Health NHS Trust,https://www.whittington.nhs.uk/
http://www.wikidata.org/entity/Q16989990,Wirral Community Health and Care NHS Foundation Trust,https://www.wchc.nhs.uk/
http://www.wikidata.org/entity/Q8026998,Wirral University Teaching Hospital NHS Foundation Trust,http://www.wuth.nhs.uk
http://www.wikidata.org/entity/Q17040140,Worcestershire Acute Hospitals NHS Trust,http://www.worcsacute.nhs.uk/
http://www.wikidata.org/entity/Q17040894,"Wrightington, Wigan and Leigh NHS Foundation Trust",http://www.wwl.nhs.uk/
http://www.wikidata.org/entity/Q5737992,Wye Valley NHS Trust,https://www.wyevalley.nhs.uk/
http://www.wikidata.org/entity/Q18390415,York and Scarborough Teaching Hospitals NHS Foundation Trust,https://www.yorkhospitals.nhs.uk
